"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_v8.nlogo"
"main-simulation-results-covary-social-costs-prev"
"01/27/2026 23:46:02:396 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-70","70","-70","70"
"[run number]","number-of-scouts","reorient-tick","cost-leaving","cost-of-infection","disease-prevalence","cost-perception-distance","cost-perception-angle","cost-walk-speed","cost-leading","cost-disappointment","[step]","nest-energy","ind-ant-times-visited","total-num-food-visits","total-num-food-visits-returned","total-num-food-visits-returned-ui","total-num-food-visits-returned-i","total-num-ants-visited","total-num-active-ants","total-foraging-distance","total-foraging-distance-ui","total-foraging-distance-i","forager-energy-ui","forager-energy-i","total-steps-taken","number-tr"
"30","25","5","0","0.7","0.9","1","0","0","1","0","5400","275.97935694766164","3.8","380","368","58","310","52","65","111424.80000026511","9680.79999999996","101744.00000022989","46.13454893005745","246.15015144878504","139281","44"
"28","25","5","0","0.5","0.9","1","0","0","1","0","5400","386.9769728453042","5.62","562","516","60","456","89","97","109791.20000025917","7585.600000001176","102205.60000023157","49.72893955204087","381.8937861955486","137239","89"
"34","25","5","0","0","0.1","0","1","0","1","0","5400","906.702839895831","12.46","1246","1209","1090","119","100","100","160945.59999990187","143899.20000014993","17046.39999999326","854.1810383564248","93.55729035828708","201182","88"
"35","25","5","0","0.1","0.1","0","1","0","1","0","5400","935.2020774137468","12.99","1299","1247","1120","127","99","100","167159.19999981145","150716.80000005072","16442.39999999381","884.9164505845504","100.06372510603089","208949","86"
"36","25","5","0","0.2","0.1","0","1","0","1","0","5400","881.9530327186411","12.13","1213","1176","1064","112","100","100","160433.59999990932","145360.80000012866","15072.799999995055","832.2305947171401","88.52039378602181","200542","89"
"37","25","5","0","0.3","0.1","0","1","0","1","0","5400","892.4540922653109","12.38","1238","1190","1072","118","99","100","161546.39999989312","145757.60000012288","15788.799999994404","847.1992216335409","94.08892575921178","201933","89"
"39","25","5","0","0.5","0.1","0","1","0","1","0","5400","815.955420491483","11.22","1122","1088","999","89","98","100","162459.19999987984","145032.80000013343","17426.399999992915","788.0931891709588","71.00717265807022","203074","81"
"38","25","5","0","0.4","0.1","0","1","0","1","0","5400","749.204699852928","10.37","1037","999","905","94","99","100","161818.39999988917","149277.60000007166","12540.799999997358","715.5856464261484","73.88366801365909","202273","86"
"41","25","5","0","0.7","0.1","0","1","0","1","0","5400","838.4536809262925","11.57","1157","1118","1019","99","99","100","164447.1999998509","146012.00000011918","18435.199999991997","806.4428921063708","78.81311531612464","205559","85"
"40","25","5","0","0.6","0.1","0","1","0","1","0","5400","884.9532133065036","12.11","1211","1180","1075","105","100","100","162084.7999998853","141606.4000001833","20478.39999999014","837.0692403978578","82.08749035487845","202606","81"
"42","25","5","0","0.8","0.1","0","1","0","1","0","5400","806.2041639621174","11.16","1116","1075","984","91","100","100","156978.3999999596","137495.20000024312","19483.199999991044","781.4330023106087","71.12529549453195","196223","96"
"43","25","5","0","0.9","0.1","0","1","0","1","0","5400","880.4516670535228","12.18","1218","1174","1091","83","100","100","170334.39999976524","149562.40000006752","20771.999999989872","858.2605629837744","63.893651039746224","212918","99"
"45","25","5","0","0","0.5","0","1","0","1","0","5400","881.9543394113033","12.15","1215","1176","578","598","99","100","160417.59999990955","81078.40000015471","79339.20000014838","455.1002278967204","470.0820125640334","200522","85"
"44","25","5","0","0.995","0.1","0","1","0","1","0","5400","758.2052161678183","10.55","1055","1011","964","47","97","100","167324.79999980904","142269.60000017364","25055.199999985976","762.5127956174604","37.861091900096525","209156","103"
"47","25","5","0","0.2","0.5","0","1","0","1","0","5400","881.9540181215151","12.08","1208","1176","587","589","99","100","160905.59999990245","77473.6000001416","83432.00000016327","461.23258418089756","457.8745106839515","201132","90"
"46","25","5","0","0.1","0.5","0","1","0","1","0","5400","861.7042647781059","11.85","1185","1149","566","583","98","100","164841.59999984517","82329.60000015926","82512.00000015993","449.5310976344733","456.6685411090037","206052","83"
"48","25","5","0","0.3","0.5","0","1","0","1","0","5400","827.2040445490069","11.32","1132","1103","587","516","99","100","160919.19999990225","75450.40000013424","85468.80000017068","455.3144574292517","408.4426325416226","201149","94"
"49","25","5","0","0.4","0.5","0","1","0","1","0","5400","794.2046570306032","11.01","1101","1059","577","482","100","100","163135.99999987","78652.80000014589","84483.2000001671","456.42597961204757","383.3679362130848","203920","94"
"50","25","5","0","0.5","0.5","0","1","0","1","0","5400","756.7057464305514","10.47","1047","1009","539","470","100","100","156185.59999997113","79608.80000014936","76576.80000013833","424.21944160132637","368.3891013922145","195232","103"
"51","25","5","0","0.6","0.5","0","1","0","1","0","5400","663.7097039474775","9.13","913","885","476","409","98","100","146849.600000107","65602.40000009841","81247.20000015532","369.3987311747995","327.8064223500563","183562","99"
"52","25","5","0","0.7","0.5","0","1","0","1","0","5400","675.7056125801964","9.3","930","901","516","385","100","100","155811.19999997658","72518.40000012357","83292.80000016277","407.2966113473601","302.9995459206182","194764","94"
"53","25","5","0","0.8","0.5","0","1","0","1","0","5400","482.21622493112625","6.78","678","643","388","255","96","100","135486.40000027235","55017.6000000599","80468.80000015249","314.9644790646296","204.1066594633934","169358","122"
"54","25","5","0","0.9","0.5","0","1","0","1","0","5400","501.7124690461759","6.97","697","669","395","274","97","100","146925.6000001059","56853.60000006658","90072.00000018743","312.17016380993897","217.65372552238196","183657","114"
"56","25","5","0","0","0.9","0","1","0","1","0","5400","854.2052394142231","11.71","1171","1139","109","1030","100","100","153820.80000000555","13995.999999996035","139824.80000020922","85.11447608726368","804.613534363741","192276","85"
"57","25","5","0","0.1","0.9","0","1","0","1","0","5400","768.7050857432508","10.7","1070","1025","94","931","100","100","155549.5999999804","17790.399999992584","137759.20000023927","73.65081254351982","741.5266681341546","194437","84"
"55","25","5","0","0.995","0.5","0","1","0","1","0","5400","578.2057471646457","8.04","804","771","521","250","98","100","169844.79999977237","74343.20000013021","95501.60000020718","415.75856395569707","199.88956719725715","212306","120"
"58","25","5","0","0.2","0.9","0","1","0","1","0","5400","785.204935498064","10.75","1075","1047","104","943","98","100","159141.59999992812","13252.79999999671","145888.80000012097","81.9147036573336","736.5054332158059","198927","97"
"59","25","5","0","0.3","0.9","0","1","0","1","0","5400","657.7081515770204","9.06","906","877","99","778","99","100","148337.60000008534","14772.799999995328","133564.8000003003","77.31424019742768","614.065452314513","185422","95"
"60","25","5","0","0.4","0.9","0","1","0","1","0","5400","613.4608293181775","8.53","853","818","93","725","97","100","147088.8000001035","17367.19999999297","129721.60000033167","72.11970349014177","576.9853773591133","183861","106"
"61","25","5","0","0.5","0.9","0","1","0","1","0","5400","449.21899223211835","6.36","636","599","83","516","94","99","113569.60000027291","14275.99999999578","99293.60000022098","67.1144009646703","424.2571795915999","141962","93"
"62","25","5","0","0.6","0.9","0","1","0","1","0","5400","388.4691035701635","5.43","543","518","72","446","75","85","118489.60000029081","12001.599999997848","106488.00000024715","58.25884126054981","356.02371995963256","148112","73"
"63","25","5","0","0.7","0.9","0","1","0","1","0","5400","233.97915776267612","3.23","323","312","76","236","49","51","77988.00000014347","9575.200000000055","68412.80000010863","59.50958123032513","186.71658777875683","97485","34"
"67","25","5","0","0","0.1","0","0","1","1","0","5400","851.2033721161538","11.73","1173","1135","1019","116","99","100","164019.99999985713","148084.80000008902","15935.199999994271","802.4047583359617","90.68888024519833","205025","81"
"65","25","5","0","0.9","0.9","0","1","0","1","0","5400","134.98328118552442","1.88","188","180","49","131","38","39","69257.6000001117","7757.600000001215","61500.000000083484","39.3101332712705","104.90619390305281","86572","17"
"66","25","5","0","0.995","0.9","0","1","0","1","0","5400","92.9843906507904","1.27","127","124","14","110","28","29","63582.40000009106","2158.399999999943","61424.00000008321","11.249342249087391","83.9812144577687","79478","7"
"64","25","5","0","0.8","0.9","0","1","0","1","0","5400","170.23097930203184","2.41","241","227","17","210","33","34","67817.60000010647","3809.6000000003182","64008.00000009261","14.998838169147938","168.24917456939562","84772","9"
"68","25","5","0","0.1","0.1","0","0","1","1","0","5400","797.2064631539216","11.05","1105","1063","964","99","99","100","155650.32000000504","139672.96000021204","15977.359999993938","764.1448181322054","78.2633379922147","196780","83"
"69","25","5","0","0.2","0.1","0","0","1","1","0","5400","863.2014686026318","11.88","1188","1151","1066","85","99","100","163179.03999992873","144749.28000013717","18429.759999992537","834.318262580654","69.79923790545516","209688","87"
