[run number],number-of-scouts,reorient-tick,cost-leaving,cost-of-infection,disease-prevalence,cost-perception-distance,cost-perception-angle,cost-walk-speed,cost-leading,cost-disappointment,[step],nest-energy,ind-ant-times-visited,total-num-food-visits,total-num-food-visits-returned,total-num-food-visits-returned-ui,total-num-food-visits-returned-i,total-num-ants-visited,total-num-active-ants,total-foraging-distance,total-foraging-distance-ui,total-foraging-distance-i,forager-energy-ui,forager-energy-i,total-steps-taken,number-tr
292,25,5,0,0.5,0.9,0,0,0,1,0,5400,717.7117704,10.01,1001,957,108,849,98,100,134688.8,16336.8,118352,85.03251352,676.6263489,168361,92
293,25,5,0,0.6,0.9,0,0,0,1,0,5400,597.7172629,8.43,843,797,91,706,98,100,115492.8,12030.4,103462.4,73.38383294,574.9246454,144366,87
294,25,5,0,0.7,0.9,0,0,0,1,0,5400,506.9700207,7.14,714,676,56,620,87,89,108106.4,7632.8,100473.6,45.75392952,502.5755523,135133,71
295,25,5,0,0.8,0.9,0,0,0,1,0,5400,296.2283686,4.11,411,395,27,368,43,44,73463.2,4748,68715.2,22.49855383,292.7914899,91829,20
297,25,5,0,0.995,0.9,0,0,0,1,0,5400,301.4779989,4.15,415,402,37,365,44,48,82784,5059.2,77724.8,29.92346133,291.2074829,103480,23
298,25,5,0,0,0.1,0,0,0,0,1,5400,882.7017116,12.16,1216,1177,1057,120,100,100,164867.2,150011.2,14856,829.2604174,92.63921157,206084,88
296,25,5,0,0.9,0.9,0,0,0,1,0,5400,282.7267891,3.92,392,377,46,331,43,43,78448,13426.4,65021.6,36.23964836,262.1676189,98060,19
299,25,5,0,0.1,0.1,0,0,0,0,1,5400,881.2028512,12.26,1226,1175,1045,130,99,100,165624.8,149849.6,15775.2,827.0542185,101.7576833,207031,92
300,25,5,0,0.2,0.1,0,0,0,0,1,5400,884.9537651,12.09,1209,1180,1071,109,99,100,161013.6,144694.4,16319.2,833.5307902,84.50126499,201267,81
301,25,5,0,0.3,0.1,0,0,0,0,1,5400,957.7021146,13.18,1318,1277,1155,122,100,100,163815.2,147903.2,15912,905.6423139,96.90763783,204769,88
302,25,5,0,0.4,0.1,0,0,0,0,1,5400,936.7023414,12.82,1282,1249,1143,106,99,100,166325.6,152560,13765.6,893.447141,80.94579411,207907,89
304,25,5,0,0.6,0.1,0,0,0,0,1,5400,904.4509161,12.39,1239,1206,1088,118,100,100,167538.4,149025.6,18512.8,848.3544681,92.91934207,209423,83
303,25,5,0,0.5,0.1,0,0,0,0,1,5400,821.9535456,11.43,1143,1096,974,122,100,100,159382.4,144784.8,14597.6,771.6745143,97.36429232,199228,90
306,25,5,0,0.8,0.1,0,0,0,0,1,5400,749.9580517,10.3,1030,1000,908,92,96,100,158770.4,140939.2,17831.2,712.3131886,71.16330153,198463,81
307,25,5,0,0.9,0.1,0,0,0,0,1,5400,806.9557907,11.2,1120,1076,988,88,97,100,161389.6,145408.8,15980.8,786.3618278,68.56386703,201737,91
308,25,5,0,0.995,0.1,0,0,0,0,1,5400,840.7070536,11.58,1158,1121,1050,71,96,100,162591.2,140223.2,22368,829.1759142,55.99316335,203239,86
309,25,5,0,0,0.5,0,0,0,0,1,5400,833.9524371,11.51,1151,1112,545,567,100,100,162527.2,80800.8,81726.4,428.7378135,448.8312841,203159,87
310,25,5,0,0.1,0.5,0,0,0,0,1,5400,783.7060834,10.95,1095,1045,504,541,98,100,158644.8,86066.4,72578.4,399.4924561,430.6778305,198306,86
311,25,5,0,0.2,0.5,0,0,0,0,1,5400,904.4542053,12.39,1239,1206,602,604,97,100,168434.4,84792.8,83641.6,471.0553398,474.6556963,210543,85
305,25,5,0,0.7,0.1,0,0,0,0,1,5400,857.2035608,11.78,1178,1143,1011,132,97,100,167622.4,151958.4,15664,791.5910706,103.2452174,209528,90
312,25,5,0,0.3,0.5,0,0,0,0,1,5400,961.4526143,13.27,1327,1282,650,632,100,100,161915.2,78280,83635.2,508.8260848,497.855698,202394,87
313,25,5,0,0.4,0.5,0,0,0,0,1,5400,800.9548636,11.16,1116,1068,533,535,99,100,159612,76644,82968,424.2078362,423.8871516,199515,87
314,25,5,0,0.5,0.5,0,0,0,0,1,5400,794.9569017,10.88,1088,1060,537,523,97,100,157017.6,73716.8,83300.8,423.5774848,410.4245491,196272,91
315,25,5,0,0.6,0.5,0,0,0,0,1,5400,898.452144,12.35,1235,1198,606,592,99,100,165536.8,80662.4,84874.4,472.9691105,465.1053197,206921,91
316,25,5,0,0.7,0.5,0,0,0,0,1,5400,806.9564918,11.26,1126,1076,560,516,97,100,160034.4,75927.2,84107.2,441.7018109,410.049302,200043,88
